기준연월,방한 외래관광객
201801,44941.0
201802,43428.0
201803,55735.0
201804,64720.0
201805,51866.0
201806,41020.0
201807,33440.0
201808,28516.0
201809,34298.0
201810,59941.0
201811,46981.0
201812,54026.0
201901,41334.0
201902,39220.0
201903,53100.0
201904,69726.0
201905,52660.0
201906,37684.0
201907,37278.0
201908,32830.0
201909,36052.0
201910,65878.0
201911,49998.0
201912,55850.0
