광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.13418644E8,2.20579456E8,-3.2
부산광역시,2.402001E7,2.0497921E7,17.2
대구광역시,2319791.0,1986504.0,16.8
인천광역시,3.9630894E7,3.6395462E7,8.9
광주광역시,532052.0,916812.0,-42.0
대전광역시,1521889.0,1698675.0,-10.4
울산광역시,870952.0,989455.0,-12.0
세종특별자치시,38717.0,44883.0,-13.7
경기도,2.228815E7,2.207441E7,1.0
강원도,2463080.0,3056657.0,-19.4
충청북도,923882.0,670781.0,37.7
충청남도,1323593.0,1231322.0,7.5
전라북도,763634.0,630834.0,21.1
전라남도,415504.0,429721.0,-3.3
경상북도,986394.0,1184495.0,-16.7
경상남도,2633689.0,2939692.0,-10.4
제주특별자치도,6396405.0,6852346.0,-6.7
