광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.66529296E8,2.27383436E8,17.2
부산광역시,3.0486945E7,2.9299649E7,4.1
대구광역시,3301058.0,3321971.0,-0.6
인천광역시,3.7580055E7,4.286409E7,-12.3
광주광역시,1983780.0,976712.0,103.1
대전광역시,2610010.0,2475161.0,5.4
울산광역시,1154990.0,1013695.0,13.9
세종특별자치시,59767.0,56014.0,6.7
경기도,2.7938171E7,2.5560766E7,9.3
강원도,1302224.0,1101975.0,18.2
충청북도,1124741.0,1155804.0,-2.7
충청남도,1467666.0,1560009.0,-5.9
전라북도,1200558.0,949469.0,26.4
전라남도,797131.0,762903.0,4.5
경상북도,1827749.0,1702255.0,7.4
경상남도,3356644.0,3222507.0,4.2
제주특별자치도,2.0041559E7,1.9130087E7,4.8
