광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.9027081E8,2.40080012E8,20.9
부산광역시,3.1681754E7,2.9238886E7,8.4
대구광역시,3199607.0,2784431.0,14.9
인천광역시,4.2164373E7,3.97771E7,6.0
광주광역시,1011240.0,1077268.0,-6.1
대전광역시,2287493.0,2183212.0,4.8
울산광역시,1052550.0,965786.0,9.0
세종특별자치시,58299.0,54294.0,7.4
경기도,2.8896658E7,2.565322E7,12.6
강원도,1378922.0,961512.0,43.4
충청북도,1080305.0,993781.0,8.7
충청남도,1471570.0,1538471.0,-4.3
전라북도,1170850.0,870094.0,34.6
전라남도,700564.0,576741.0,21.5
경상북도,1796315.0,1526390.0,17.7
경상남도,3397282.0,3492451.0,-2.7
제주특별자치도,1.6485532E7,1.9550439E7,-15.7
