기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201901,서울특별시,현지인방문자(a),1.30981176E8,1.30193399E8,0.6
201901,서울특별시,외지인방문자(b),4.916724E7,4.712422E7,4.3
201901,서울특별시,외국인방문자(c),1881982.0,1133444.0,66.0
201901,서울특별시,외부방문자(b+c),5.1049223E7,4.8257665E7,5.8
201901,서울특별시,전체방문자(a+b+c),1.82030398E8,1.78451064E8,2.0
201901,부산광역시,현지인방문자(a),3.8855148E7,3.7569497E7,3.4
201901,부산광역시,외지인방문자(b),1.1674128E7,1.1834204E7,-1.4
201901,부산광역시,외국인방문자(c),294616.0,174910.0,68.4
201901,부산광역시,외부방문자(b+c),1.1968743E7,1.2009113E7,-0.3
201901,부산광역시,전체방문자(a+b+c),5.0823892E7,4.957861E7,2.5
201901,대구광역시,현지인방문자(a),3.5297808E7,3.3205616E7,6.3
201901,대구광역시,외지인방문자(b),8475848.0,8417059.0,0.7
201901,대구광역시,외국인방문자(c),56553.0,33713.0,67.7
201901,대구광역시,외부방문자(b+c),8532401.0,8450772.0,1.0
201901,대구광역시,전체방문자(a+b+c),4.3830209E7,4.1656389E7,5.2
201901,인천광역시,현지인방문자(a),3.436224E7,2.7629256E7,24.4
201901,인천광역시,외지인방문자(b),1.3430781E7,1.1899167E7,12.9
201901,인천광역시,외국인방문자(c),664603.0,352199.0,88.7
201901,인천광역시,외부방문자(b+c),1.4095384E7,1.2251366E7,15.1
201901,인천광역시,전체방문자(a+b+c),4.8457625E7,3.9880621E7,21.5
201901,광주광역시,현지인방문자(a),2.203139E7,2.1096954E7,4.4
201901,광주광역시,외지인방문자(b),5140044.0,5080523.0,1.2
201901,광주광역시,외국인방문자(c),25293.0,15493.0,63.3
201901,광주광역시,외부방문자(b+c),5165337.0,5096016.0,1.4
201901,광주광역시,전체방문자(a+b+c),2.7196728E7,2.6192969E7,3.8
201901,대전광역시,현지인방문자(a),2.1303636E7,2.0495058E7,3.9
201901,대전광역시,외지인방문자(b),6625594.0,6481178.0,2.2
201901,대전광역시,외국인방문자(c),32292.0,20689.0,56.1
201901,대전광역시,외부방문자(b+c),6657886.0,6501866.0,2.4
201901,대전광역시,전체방문자(a+b+c),2.7961522E7,2.6996925E7,3.6
201901,울산광역시,현지인방문자(a),1.4581752E7,1.432628E7,1.8
201901,울산광역시,외지인방문자(b),3731231.0,3864854.0,-3.5
201901,울산광역시,외국인방문자(c),72548.0,40012.0,81.3
201901,울산광역시,외부방문자(b+c),3803779.0,3904866.0,-2.6
201901,울산광역시,전체방문자(a+b+c),1.8385532E7,1.8231146E7,0.8
201901,세종특별자치시,현지인방문자(a),3305960.0,2557278.0,29.3
201901,세종특별자치시,외지인방문자(b),1893444.0,1634252.0,15.9
201901,세종특별자치시,외국인방문자(c),7030.0,4853.0,44.9
201901,세종특별자치시,외부방문자(b+c),1900474.0,1639105.0,15.9
201901,세종특별자치시,전체방문자(a+b+c),5206434.0,4196383.0,24.1
201901,경기도,현지인방문자(a),1.6257956E8,1.48998314E8,9.1
201901,경기도,외지인방문자(b),4.5956222E7,4.3024558E7,6.8
201901,경기도,외국인방문자(c),654780.0,374434.0,74.9
201901,경기도,외부방문자(b+c),4.6611002E7,4.3398992E7,7.4
201901,경기도,전체방문자(a+b+c),2.09190562E8,1.92397307E8,8.7
201901,강원도,현지인방문자(a),2.4953618E7,2.3443021E7,6.4
201901,강원도,외지인방문자(b),1.0763655E7,1.021637E7,5.4
201901,강원도,외국인방문자(c),160903.0,95574.0,68.4
201901,강원도,외부방문자(b+c),1.0924558E7,1.0311945E7,5.9
201901,강원도,전체방문자(a+b+c),3.5878176E7,3.3754966E7,6.3
201901,충청북도,현지인방문자(a),2.134915E7,1.9817175E7,7.7
201901,충청북도,외지인방문자(b),7257800.0,6819592.0,6.4
201901,충청북도,외국인방문자(c),44321.0,27837.0,59.2
201901,충청북도,외부방문자(b+c),7302120.0,6847430.0,6.6
201901,충청북도,전체방문자(a+b+c),2.865127E7,2.6664605E7,7.5
201901,충청남도,현지인방문자(a),2.743278E7,2.5778109E7,6.4
201901,충청남도,외지인방문자(b),1.0369506E7,9866941.0,5.1
201901,충청남도,외국인방문자(c),112279.0,51734.0,117.0
201901,충청남도,외부방문자(b+c),1.0481785E7,9918675.0,5.7
201901,충청남도,전체방문자(a+b+c),3.7914564E7,3.5696784E7,6.2
201901,전라북도,현지인방문자(a),2.6394386E7,2.4484257E7,7.8
201901,전라북도,외지인방문자(b),6331780.0,6285755.0,0.7
201901,전라북도,외국인방문자(c),51495.0,26728.0,92.7
201901,전라북도,외부방문자(b+c),6383275.0,6312483.0,1.1
201901,전라북도,전체방문자(a+b+c),3.277766E7,3.079674E7,6.4
201901,전라남도,현지인방문자(a),2.3584872E7,2.1564032E7,9.4
201901,전라남도,외지인방문자(b),7856650.0,7167216.0,9.6
201901,전라남도,외국인방문자(c),136720.0,65112.0,110.0
201901,전라남도,외부방문자(b+c),7993369.0,7232328.0,10.5
201901,전라남도,전체방문자(a+b+c),3.1578242E7,2.879636E7,9.7
201901,경상북도,현지인방문자(a),3.8406288E7,3.6411802E7,5.5
201901,경상북도,외지인방문자(b),1.2040962E7,1.1549629E7,4.3
201901,경상북도,외국인방문자(c),89099.0,59444.0,49.9
201901,경상북도,외부방문자(b+c),1.2130061E7,1.1609073E7,4.5
201901,경상북도,전체방문자(a+b+c),5.0536349E7,4.8020875E7,5.2
201901,경상남도,현지인방문자(a),4.257714E7,4.1529484E7,2.5
201901,경상남도,외지인방문자(b),1.1057704E7,1.1138715E7,-0.7
201901,경상남도,외국인방문자(c),158612.0,86978.0,82.4
201901,경상남도,외부방문자(b+c),1.1216316E7,1.1225693E7,-0.1
201901,경상남도,전체방문자(a+b+c),5.3793456E7,5.2755178E7,2.0
201901,제주특별자치도,현지인방문자(a),1.4000707E7,1.3058924E7,7.2
201901,제주특별자치도,외지인방문자(b),4266230.0,4275540.0,-0.2
201901,제주특별자치도,외국인방문자(c),312594.0,158972.0,96.6
201901,제주특별자치도,외부방문자(b+c),4578825.0,4434512.0,3.3
201901,제주특별자치도,전체방문자(a+b+c),1.8579532E7,1.7493436E7,6.2
201902,서울특별시,현지인방문자(a),1.11320822E8,1.12745882E8,-1.3
201902,서울특별시,외지인방문자(b),4.3909075E7,4.2031913E7,4.5
201902,서울특별시,외국인방문자(c),1832432.0,1258366.0,45.6
201902,서울특별시,외부방문자(b+c),4.5741507E7,4.3290279E7,5.7
201902,서울특별시,전체방문자(a+b+c),1.57062329E8,1.5603616E8,0.7
201902,부산광역시,현지인방문자(a),3.4681612E7,3.4097878E7,1.7
201902,부산광역시,외지인방문자(b),1.2876465E7,1.2335218E7,4.4
201902,부산광역시,외국인방문자(c),312050.0,205153.0,52.1
201902,부산광역시,외부방문자(b+c),1.3188515E7,1.2540371E7,5.2
201902,부산광역시,전체방문자(a+b+c),4.7870127E7,4.6638249E7,2.6
201902,대구광역시,현지인방문자(a),3.161306E7,3.0215668E7,4.6
201902,대구광역시,외지인방문자(b),9346676.0,8816661.0,6.0
201902,대구광역시,외국인방문자(c),58460.0,39735.0,47.1
201902,대구광역시,외부방문자(b+c),9405136.0,8856396.0,6.2
201902,대구광역시,전체방문자(a+b+c),4.1018197E7,3.9072064E7,5.0
201902,인천광역시,현지인방문자(a),2.9025742E7,2.7795232E7,4.4
201902,인천광역시,외지인방문자(b),1.2650463E7,1.021895E7,23.8
201902,인천광역시,외국인방문자(c),649885.0,403089.0,61.2
201902,인천광역시,외부방문자(b+c),1.3300348E7,1.0622039E7,25.2
201902,인천광역시,전체방문자(a+b+c),4.232609E7,3.8417272E7,10.2
201902,광주광역시,현지인방문자(a),1.9235426E7,1.893739E7,1.6
201902,광주광역시,외지인방문자(b),5526822.0,5329482.0,3.7
201902,광주광역시,외국인방문자(c),25151.0,16017.0,57.0
201902,광주광역시,외부방문자(b+c),5551973.0,5345499.0,3.9
201902,광주광역시,전체방문자(a+b+c),2.4787399E7,2.4282889E7,2.1
201902,대전광역시,현지인방문자(a),1.8668128E7,1.8164492E7,2.8
201902,대전광역시,외지인방문자(b),6798166.0,6498740.0,4.6
201902,대전광역시,외국인방문자(c),35989.0,20788.0,73.1
201902,대전광역시,외부방문자(b+c),6834154.0,6519528.0,4.8
201902,대전광역시,전체방문자(a+b+c),2.5502283E7,2.4684021E7,3.3
201902,울산광역시,현지인방문자(a),1.2942041E7,1.2815929E7,1.0
201902,울산광역시,외지인방문자(b),3864693.0,3629426.0,6.5
201902,울산광역시,외국인방문자(c),68819.0,39317.0,75.0
201902,울산광역시,외부방문자(b+c),3933512.0,3668743.0,7.2
201902,울산광역시,전체방문자(a+b+c),1.6875553E7,1.6484672E7,2.4
201902,세종특별자치시,현지인방문자(a),2898382.0,2261780.0,28.1
201902,세종특별자치시,외지인방문자(b),1924342.0,1677704.0,14.7
201902,세종특별자치시,외국인방문자(c),7519.0,5403.0,39.2
201902,세종특별자치시,외부방문자(b+c),1931861.0,1683107.0,14.8
201902,세종특별자치시,전체방문자(a+b+c),4830243.0,3944887.0,22.4
201902,경기도,현지인방문자(a),1.3886545E8,1.31429739E8,5.7
201902,경기도,외지인방문자(b),4.3111302E7,3.984763E7,8.2
201902,경기도,외국인방문자(c),680858.0,432142.0,57.6
201902,경기도,외부방문자(b+c),4.379216E7,4.0279771E7,8.7
201902,경기도,전체방문자(a+b+c),1.82657611E8,1.7170951E8,6.4
201902,강원도,현지인방문자(a),2.1481278E7,2.0969249E7,2.4
201902,강원도,외지인방문자(b),1.0695489E7,1.0286941E7,4.0
201902,강원도,외국인방문자(c),186674.0,552313.0,-66.2
201902,강원도,외부방문자(b+c),1.0882163E7,1.0839254E7,0.4
201902,강원도,전체방문자(a+b+c),3.2363441E7,3.1808503E7,1.7
201902,충청북도,현지인방문자(a),1.8738713E7,1.8020454E7,4.0
201902,충청북도,외지인방문자(b),8143037.0,7647168.0,6.5
201902,충청북도,외국인방문자(c),50899.0,28126.0,81.0
201902,충청북도,외부방문자(b+c),8193936.0,7675294.0,6.8
201902,충청북도,전체방문자(a+b+c),2.6932649E7,2.5695747E7,4.8
201902,충청남도,현지인방문자(a),2.4065279E7,2.3179748E7,3.8
201902,충청남도,외지인방문자(b),1.2122985E7,1.1171646E7,8.5
201902,충청남도,외국인방문자(c),114066.0,57080.0,99.8
201902,충청남도,외부방문자(b+c),1.2237051E7,1.1228727E7,9.0
201902,충청남도,전체방문자(a+b+c),3.630233E7,3.4408474E7,5.5
201902,전라북도,현지인방문자(a),2.3242538E7,2.2566082E7,3.0
201902,전라북도,외지인방문자(b),7976868.0,7521070.0,6.1
201902,전라북도,외국인방문자(c),51424.0,30439.0,68.9
201902,전라북도,외부방문자(b+c),8028291.0,7551508.0,6.3
201902,전라북도,전체방문자(a+b+c),3.1270829E7,3.011759E7,3.8
201902,전라남도,현지인방문자(a),2.0744234E7,1.98648E7,4.4
201902,전라남도,외지인방문자(b),9979893.0,9013182.0,10.7
201902,전라남도,외국인방문자(c),121588.0,61746.0,96.9
201902,전라남도,외부방문자(b+c),1.0101481E7,9074929.0,11.3
201902,전라남도,전체방문자(a+b+c),3.0845715E7,2.8939728E7,6.6
201902,경상북도,현지인방문자(a),3.4273883E7,3.3161758E7,3.4
201902,경상북도,외지인방문자(b),1.4803026E7,1.350482E7,9.6
201902,경상북도,외국인방문자(c),97651.0,56311.0,73.4
201902,경상북도,외부방문자(b+c),1.4900677E7,1.3561131E7,9.9
201902,경상북도,전체방문자(a+b+c),4.917456E7,4.6722889E7,5.2
201902,경상남도,현지인방문자(a),3.8349966E7,3.7545088E7,2.1
201902,경상남도,외지인방문자(b),1.2724344E7,1.1787962E7,7.9
201902,경상남도,외국인방문자(c),144381.0,87756.0,64.5
201902,경상남도,외부방문자(b+c),1.2868725E7,1.1875718E7,8.4
201902,경상남도,전체방문자(a+b+c),5.1218691E7,4.9420806E7,3.6
201902,제주특별자치도,현지인방문자(a),1.2433684E7,1.1855756E7,4.9
201902,제주특별자치도,외지인방문자(b),3919934.0,3458410.0,13.3
201902,제주특별자치도,외국인방문자(c),355574.0,182291.0,95.1
201902,제주특별자치도,외부방문자(b+c),4275507.0,3640700.0,17.4
201902,제주특별자치도,전체방문자(a+b+c),1.6709191E7,1.5496457E7,7.8
201903,서울특별시,현지인방문자(a),1.3485151E8,1.36124684E8,-0.9
201903,서울특별시,외지인방문자(b),6.0777356E7,5.5548748E7,9.4
