광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,3.39998278E8,2.8989501E8,17.3
부산광역시,3.3610281E7,3.8042657E7,-11.7
대구광역시,3652492.0,3525530.0,3.6
인천광역시,4.5985328E7,4.3801719E7,5.0
광주광역시,996414.0,1226811.0,-18.8
대전광역시,3011396.0,2872751.0,4.8
울산광역시,1317430.0,952767.0,38.3
세종특별자치시,75629.0,63786.0,18.6
경기도,3.2049364E7,3.0094115E7,6.5
강원도,1718500.0,1378243.0,24.7
충청북도,1157394.0,1779588.0,-35.0
충청남도,1646089.0,1725480.0,-4.6
전라북도,1312311.0,1102984.0,19.0
전라남도,832977.0,755960.0,10.2
경상북도,1886217.0,1597930.0,18.0
경상남도,3684181.0,3979329.0,-7.4
제주특별자치도,1.9089795E7,2.0779832E7,-8.1
