광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.56181912E8,2.45123067E8,4.5
부산광역시,2.7132071E7,2.6550901E7,2.2
대구광역시,3590525.0,2837005.0,26.6
인천광역시,3.7651259E7,4.2227997E7,-10.8
광주광역시,830686.0,951226.0,-12.7
대전광역시,1984170.0,2138818.0,-7.2
울산광역시,1172249.0,1264436.0,-7.3
세종특별자치시,65966.0,53044.0,24.4
경기도,2.7083333E7,2.6192213E7,3.4
강원도,753656.0,2430243.0,-69.0
충청북도,1253955.0,1040033.0,20.6
충청남도,1664082.0,1715796.0,-3.0
전라북도,1048193.0,1102672.0,-4.9
전라남도,575502.0,573942.0,0.3
경상북도,1542520.0,1586576.0,-2.8
경상남도,3303537.0,3656295.0,-9.6
제주특별자치도,9493255.0,1.568639E7,-39.5
