기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201801,제주특별자치도,외부방문자(b+c),4434512.0,0.0,0.0
201801,제주특별자치도,전체방문자(a+b+c),1.7493436E7,0.0,0.0
201802,서울특별시,현지인방문자(a),1.12745882E8,0.0,0.0
201802,서울특별시,외지인방문자(b),4.2031913E7,0.0,0.0
201802,서울특별시,외국인방문자(c),1258366.0,0.0,0.0
201802,서울특별시,외부방문자(b+c),4.3290279E7,0.0,0.0
201802,서울특별시,전체방문자(a+b+c),1.5603616E8,0.0,0.0
201802,부산광역시,현지인방문자(a),3.4097878E7,0.0,0.0
201802,부산광역시,외지인방문자(b),1.2335218E7,0.0,0.0
201802,부산광역시,외국인방문자(c),205153.0,0.0,0.0
201802,부산광역시,외부방문자(b+c),1.2540371E7,0.0,0.0
201802,부산광역시,전체방문자(a+b+c),4.6638249E7,0.0,0.0
201802,대구광역시,현지인방문자(a),3.0215668E7,0.0,0.0
201802,대구광역시,외지인방문자(b),8816661.0,0.0,0.0
201802,대구광역시,외국인방문자(c),39735.0,0.0,0.0
201802,대구광역시,외부방문자(b+c),8856396.0,0.0,0.0
201802,대구광역시,전체방문자(a+b+c),3.9072064E7,0.0,0.0
201802,인천광역시,현지인방문자(a),2.7795232E7,0.0,0.0
201802,인천광역시,외지인방문자(b),1.021895E7,0.0,0.0
201802,인천광역시,외국인방문자(c),403089.0,0.0,0.0
201802,인천광역시,외부방문자(b+c),1.0622039E7,0.0,0.0
201802,인천광역시,전체방문자(a+b+c),3.8417272E7,0.0,0.0
201802,광주광역시,현지인방문자(a),1.893739E7,0.0,0.0
201802,광주광역시,외지인방문자(b),5329482.0,0.0,0.0
201802,광주광역시,외국인방문자(c),16017.0,0.0,0.0
201802,광주광역시,외부방문자(b+c),5345499.0,0.0,0.0
201802,광주광역시,전체방문자(a+b+c),2.4282889E7,0.0,0.0
201802,대전광역시,현지인방문자(a),1.8164492E7,0.0,0.0
201802,대전광역시,외지인방문자(b),6498740.0,0.0,0.0
201802,대전광역시,외국인방문자(c),20788.0,0.0,0.0
201802,대전광역시,외부방문자(b+c),6519528.0,0.0,0.0
201802,대전광역시,전체방문자(a+b+c),2.4684021E7,0.0,0.0
201802,울산광역시,현지인방문자(a),1.2815929E7,0.0,0.0
201802,울산광역시,외지인방문자(b),3629426.0,0.0,0.0
201802,울산광역시,외국인방문자(c),39317.0,0.0,0.0
201802,울산광역시,외부방문자(b+c),3668743.0,0.0,0.0
201802,울산광역시,전체방문자(a+b+c),1.6484672E7,0.0,0.0
201802,세종특별자치시,현지인방문자(a),2261780.0,0.0,0.0
201802,세종특별자치시,외지인방문자(b),1677704.0,0.0,0.0
201802,세종특별자치시,외국인방문자(c),5403.0,0.0,0.0
201802,세종특별자치시,외부방문자(b+c),1683107.0,0.0,0.0
201802,세종특별자치시,전체방문자(a+b+c),3944887.0,0.0,0.0
201802,경기도,현지인방문자(a),1.31429739E8,0.0,0.0
201802,경기도,외지인방문자(b),3.984763E7,0.0,0.0
201802,경기도,외국인방문자(c),432142.0,0.0,0.0
201802,경기도,외부방문자(b+c),4.0279771E7,0.0,0.0
201802,경기도,전체방문자(a+b+c),1.7170951E8,0.0,0.0
201802,강원도,현지인방문자(a),2.0969249E7,0.0,0.0
201802,강원도,외지인방문자(b),1.0286941E7,0.0,0.0
201802,강원도,외국인방문자(c),552313.0,0.0,0.0
201802,강원도,외부방문자(b+c),1.0839254E7,0.0,0.0
201802,강원도,전체방문자(a+b+c),3.1808503E7,0.0,0.0
