광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.83958973E8,2.41545629E8,17.6
부산광역시,3.1834444E7,3.0824848E7,3.3
대구광역시,3365389.0,3041890.0,10.6
인천광역시,4.7372127E7,3.9832637E7,18.9
광주광역시,1446126.0,987416.0,46.5
대전광역시,2566339.0,2577507.0,-0.4
울산광역시,1040579.0,898527.0,15.8
세종특별자치시,53186.0,70156.0,-24.2
경기도,2.8923388E7,2.5061719E7,15.4
강원도,1389331.0,1255223.0,10.7
충청북도,913130.0,1016728.0,-10.2
충청남도,1446231.0,1473073.0,-1.8
전라북도,1129866.0,826261.0,36.7
전라남도,744945.0,592641.0,25.7
경상북도,1622769.0,1654698.0,-1.9
경상남도,3215340.0,2985190.0,7.7
제주특별자치도,2.1910727E7,2.6600987E7,-17.6
