광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.92474752E8,2.58327223E8,13.2
부산광역시,3.3310363E7,2.8377838E7,17.4
대구광역시,3981835.0,3266775.0,21.9
인천광역시,4.4982283E7,4.27951E7,5.1
광주광역시,885553.0,1233633.0,-28.2
대전광역시,2481524.0,2266002.0,9.5
울산광역시,1005855.0,1039309.0,-3.2
세종특별자치시,60704.0,46764.0,29.8
경기도,2.8399893E7,2.6086303E7,8.9
강원도,919996.0,830614.0,10.8
충청북도,1210249.0,926042.0,30.7
충청남도,1476096.0,1529163.0,-3.5
전라북도,1181091.0,910667.0,29.7
전라남도,626598.0,660372.0,-5.1
경상북도,1765725.0,1968340.0,-10.3
경상남도,3281835.0,3780807.0,-13.2
제주특별자치도,1.4868555E7,1.6594216E7,-10.4
