기준연월,방한 외래관광객
201801,75820.0
201802,88076.0
201803,94084.0
201804,105177.0
201805,88304.0
201806,102863.0
201807,97696.0
201808,100517.0
201809,87351.0
201810,99972.0
201811,88165.0
201812,87308.0
201901,87954.0
201902,94559.0
201903,98510.0
201904,113072.0
201905,101779.0
201906,118437.0
201907,113587.0
201908,109273.0
201909,102758.0
201910,127944.0
201911,102241.0
201912,90379.0
