광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.02083702E8,2.13448367E8,-5.3
부산광역시,2.1817571E7,2.1919033E7,-0.5
대구광역시,2598491.0,1832509.0,41.8
인천광역시,3.5329756E7,3.8545719E7,-8.3
광주광역시,557051.0,577128.0,-3.5
대전광역시,1616463.0,2598016.0,-37.8
울산광역시,884195.0,1410523.0,-37.3
세종특별자치시,39369.0,56545.0,-30.4
경기도,2.1132554E7,2.250734E7,-6.1
강원도,3695713.0,1.2437297E7,-70.3
충청북도,866747.0,792973.0,9.3
충청남도,1112558.0,1166813.0,-4.6
전라북도,750094.0,636708.0,17.8
전라남도,437780.0,398827.0,9.8
경상북도,1012848.0,1125833.0,-10.0
경상남도,2414238.0,2735055.0,-11.7
제주특별자치도,1.0448749E7,7263305.0,43.9
