기준연월,방한 외래관광객
201801,11688.0
201802,8769.0
201803,10693.0
201804,15500.0
201805,12472.0
201806,11841.0
201807,11491.0
201808,11577.0
201809,15310.0
201810,14907.0
201811,11711.0
201812,17174.0
201901,14285.0
201902,8331.0
201903,12263.0
201904,19938.0
201905,13558.0
201906,13201.0
201907,11840.0
201908,13647.0
201909,17269.0
201910,16251.0
201911,13346.0
201912,19289.0
