광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,3.09611617E8,2.71009363E8,14.2
부산광역시,3.2614978E7,3.2879269E7,-0.8
대구광역시,3628043.0,2684061.0,35.2
인천광역시,4.6181679E7,4.4363381E7,4.1
광주광역시,989034.0,1835895.0,-46.1
대전광역시,2440173.0,2234919.0,9.2
울산광역시,1126632.0,983937.0,14.5
세종특별자치시,66014.0,62892.0,5.0
경기도,3.0022396E7,2.6986219E7,11.3
강원도,998455.0,967067.0,3.2
충청북도,1178593.0,1117026.0,5.5
충청남도,1405484.0,1742211.0,-19.3
전라북도,1220346.0,980673.0,24.4
전라남도,639243.0,707047.0,-9.6
경상북도,1646882.0,1706099.0,-3.5
경상남도,3686830.0,3780692.0,-2.5
제주특별자치도,1.5402934E7,1.7475796E7,-11.9
