광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.8047503E8,2.64243152E8,6.1
부산광역시,2.8254193E7,2.9415396E7,-3.9
대구광역시,3607616.0,2634494.0,36.9
인천광역시,4.481107E7,4.1094549E7,9.0
광주광역시,903663.0,1076756.0,-16.1
대전광역시,2335296.0,2473019.0,-5.6
울산광역시,1037049.0,1050182.0,-1.3
세종특별자치시,66239.0,63854.0,3.7
경기도,2.6941401E7,2.6792069E7,0.6
강원도,1044151.0,1142462.0,-8.6
충청북도,959865.0,1674867.0,-42.7
충청남도,1293103.0,1739809.0,-25.7
전라북도,1153688.0,1174960.0,-1.8
전라남도,610311.0,769340.0,-20.7
경상북도,1468493.0,1668403.0,-12.0
경상남도,2992474.0,3844479.0,-22.2
제주특별자치도,1.5282009E7,2.2325092E7,-31.5
