,기준연월,국제수지금액,인원수,1인당 관광수입
0,2021-09,935.2,89800.0,10414.3
1,2021-10,875.8,92416.0,9476.7
2,2021-11,992.1,94358.0,10514.2
3,2021-12,835.6,90150.0,9269.0
4,2022-01,748.1,81851.0,9139.8
5,2022-02,785.9,99999.0,7859.1
6,2022-03,974.3,96768.0,10068.4
7,2022-04,864.3,127919.0,6756.6
8,2022-05,956.4,175922.0,5436.5
9,2022-06,978.8,227713.0,4298.4
10,2022-07,840.8,263986.0,3185.0
11,2022-08,1093.4,310945.0,3516.4
