기준년월,방한 외래관광객
2021-09,89800.0
2021-10,92416.0
2021-11,94358.0
2021-12,90150.0
2022-01,81851.0
2022-02,99999.0
2022-03,96768.0
2022-04,127919.0
2022-05,175922.0
2022-06,227713.0
2022-07,263986.0
2022-08,310945.0
