기준년월,지자체,업종,소비금액,전년동기소비금액
201901,서울특별시,카지노,25558568.0,13656409.0
201901,서울특별시,총소비,213418644.0,220579456.0
201901,서울특별시,호텔,43517568.0,41775382.0
201901,서울특별시,콘도,94168.0,81856.0
201901,서울특별시,기타숙박,6563310.0,6009689.0
201901,서울특별시,여행업,437568.0,443806.0
201901,서울특별시,항공운송,1273063.0,1532572.0
201901,서울특별시,렌터카,57637.0,154338.0
201901,서울특별시,면세점,35717369.0,30713122.0
201901,서울특별시,관광기념품,6734042.0,5042679.0
201901,서울특별시,레저용품쇼핑,3798188.0,3851865.0
201901,서울특별시,대형쇼핑몰,62466667.0,92472392.0
201901,서울특별시,관광유원시설,117209.0,125066.0
201901,서울특별시,골프장,20564.0,15635.0
201901,서울특별시,기타레저,87.0,70.0
201901,서울특별시,문화서비스,246313.0,408140.0
201901,서울특별시,식음료,26341949.0,23667790.0
201901,서울특별시,육상운송,466667.0,628235.0
201901,서울특별시,수상운송,7707.0,408.0
201901,부산광역시,카지노,9423477.0,7949910.0
201901,부산광역시,총소비,24020010.0,20497921.0
201901,부산광역시,콘도,2035.0,1252.0
201901,부산광역시,호텔,2262914.0,1824856.0
201901,부산광역시,기타숙박,672765.0,591117.0
201901,부산광역시,여행업,776.0,15687.0
201901,부산광역시,항공운송,25033.0,1460.0
201901,부산광역시,렌터카,6181.0,18372.0
201901,부산광역시,면세점,2833598.0,2736906.0
201901,부산광역시,관광기념품,418636.0,139221.0
201901,부산광역시,레저용품쇼핑,242665.0,179250.0
201901,부산광역시,대형쇼핑몰,6273326.0,5529414.0
201901,부산광역시,관광유원시설,44218.0,27776.0
201901,부산광역시,골프장,16142.0,9642.0
201901,부산광역시,기타레저,240.0,74.0
201901,부산광역시,문화서비스,3233.0,6783.0
201901,부산광역시,식음료,1787489.0,1459129.0
201901,부산광역시,육상운송,2222.0,0.0
201901,부산광역시,수상운송,5060.0,7071.0
201901,대구광역시,총소비,2319791.0,1986504.0
201901,대구광역시,호텔,863053.0,707198.0
201901,대구광역시,기타숙박,141986.0,128073.0
201901,대구광역시,여행업,1340.0,0.0
201901,대구광역시,렌터카,2032.0,880.0
201901,대구광역시,관광기념품,83844.0,1572.0
201901,대구광역시,레저용품쇼핑,46918.0,45361.0
201901,대구광역시,대형쇼핑몰,698102.0,694899.0
201901,대구광역시,관광유원시설,8427.0,2800.0
201901,대구광역시,골프장,200.0,995.0
201901,대구광역시,기타레저,0.0,1018.0
201901,대구광역시,문화서비스,2398.0,3248.0
201901,대구광역시,식음료,471492.0,400461.0
201901,인천광역시,총소비,39630894.0,36395462.0
201901,인천광역시,호텔,15495124.0,9816232.0
201901,인천광역시,기타숙박,485117.0,481054.0
201901,인천광역시,여행업,13561.0,7652.0
201901,인천광역시,항공운송,11756.0,132013.0
201901,인천광역시,렌터카,240453.0,191330.0
201901,인천광역시,면세점,17556511.0,21033012.0
201901,인천광역시,관광기념품,256396.0,181360.0
201901,인천광역시,레저용품쇼핑,47981.0,36649.0
201901,인천광역시,대형쇼핑몰,1968851.0,1871895.0
201901,인천광역시,관광유원시설,0.0,50.0
201901,인천광역시,골프장,6152.0,14393.0
201901,인천광역시,기타레저,1.0,371.0
201901,인천광역시,문화서비스,786.0,1687.0
201901,인천광역시,식음료,3548147.0,2627393.0
201901,인천광역시,육상운송,0.0,214.0
201901,인천광역시,수상운송,57.0,157.0
201901,광주광역시,총소비,532052.0,916812.0
201901,광주광역시,호텔,3814.0,6576.0
201901,광주광역시,기타숙박,153233.0,472648.0
201901,광주광역시,렌터카,165.0,459.0
201901,광주광역시,관광기념품,82.0,226.0
201901,광주광역시,레저용품쇼핑,20602.0,29645.0
201901,광주광역시,대형쇼핑몰,218436.0,256685.0
201901,광주광역시,관광유원시설,43.0,12.0
201901,광주광역시,골프장,301.0,85.0
201901,광주광역시,문화서비스,26292.0,439.0
201901,광주광역시,식음료,109077.0,150038.0
201901,광주광역시,육상운송,7.0,0.0
201901,대전광역시,총소비,1521889.0,1698675.0
201901,대전광역시,호텔,223329.0,314436.0
201901,대전광역시,기타숙박,51479.0,57611.0
201901,대전광역시,렌터카,550.0,0.0
201901,대전광역시,면세점,0.0,1263.0
201901,대전광역시,관광기념품,1010.0,130.0
201901,대전광역시,레저용품쇼핑,9215.0,19083.0
201901,대전광역시,대형쇼핑몰,264385.0,305372.0
201901,대전광역시,관광유원시설,149.0,55.0
201901,대전광역시,골프장,48828.0,13906.0
201901,대전광역시,문화서비스,816.0,1209.0
201901,대전광역시,식음료,206041.0,206968.0
201901,대전광역시,육상운송,716085.0,778642.0
201901,울산광역시,총소비,870952.0,989455.0
201901,울산광역시,호텔,437557.0,581089.0
201901,울산광역시,기타숙박,57634.0,38532.0
201901,울산광역시,여행업,811.0,735.0
201901,울산광역시,렌터카,2280.0,1910.0
201901,울산광역시,면세점,0.0,2766.0
201901,울산광역시,관광기념품,2048.0,240.0
201901,울산광역시,레저용품쇼핑,7774.0,5851.0
201901,울산광역시,대형쇼핑몰,204742.0,186342.0
201901,울산광역시,골프장,963.0,1211.0
201901,울산광역시,문화서비스,277.0,556.0
201901,울산광역시,식음료,156865.0,170222.0
201901,세종특별자치시,총소비,38717.0,44883.0
201901,세종특별자치시,기타숙박,970.0,8568.0
201901,세종특별자치시,관광기념품,0.0,325.0
201901,세종특별자치시,레저용품쇼핑,515.0,1242.0
201901,세종특별자치시,대형쇼핑몰,15738.0,17424.0
201901,세종특별자치시,골프장,200.0,0.0
201901,세종특별자치시,문화서비스,52.0,0.0
201901,세종특별자치시,식음료,21242.0,17324.0
201901,경기도,총소비,22288150.0,22074410.0
201901,경기도,호텔,3030637.0,4003959.0
201901,경기도,콘도,32124.0,17716.0
201901,경기도,캠핑장/펜션,428.0,3727.0
201901,경기도,기타숙박,4954179.0,4563657.0
201901,경기도,여행업,48429.0,68181.0
201901,경기도,렌터카,94004.0,59059.0
201901,경기도,면세점,2466.0,134.0
201901,경기도,관광기념품,101194.0,50328.0
201901,경기도,레저용품쇼핑,655441.0,575489.0
