,기준연월,국가명,value
196,201805,아랍에미리트,452.0
197,201806,아랍에미리트,642.0
198,201807,아랍에미리트,1375.0
199,201808,아랍에미리트,1245.0
200,201809,아랍에미리트,704.0
201,201810,아랍에미리트,1003.0
202,201811,아랍에미리트,986.0
203,201812,아랍에미리트,1198.0
204,201901,아랍에미리트,769.0
205,201902,아랍에미리트,668.0
206,201903,아랍에미리트,1732.0
207,201904,아랍에미리트,1476.0
208,201905,아랍에미리트,352.0
209,201906,아랍에미리트,1014.0
210,201907,아랍에미리트,1525.0
211,201908,아랍에미리트,1451.0
212,201909,아랍에미리트,862.0
213,201910,아랍에미리트,961.0
214,201911,아랍에미리트,1110.0
215,201912,아랍에미리트,1306.0
216,201801,영국,9399.0
217,201802,영국,10334.0
218,201803,영국,12257.0
219,201804,영국,13363.0
220,201805,영국,10803.0
221,201806,영국,10586.0
222,201807,영국,10683.0
223,201808,영국,11132.0
224,201809,영국,10753.0
225,201810,영국,13813.0
226,201811,영국,10067.0
227,201812,영국,7787.0
228,201901,영국,10148.0
229,201902,영국,7876.0
230,201903,영국,12813.0
231,201904,영국,16707.0
232,201905,영국,11522.0
233,201906,영국,11155.0
234,201907,영국,10826.0
235,201908,영국,13116.0
236,201909,영국,13325.0
237,201910,영국,15911.0
238,201911,영국,11542.0
239,201912,영국,8735.0
240,201801,인도,7421.0
241,201802,인도,7093.0
242,201803,인도,9363.0
243,201804,인도,10641.0
244,201805,인도,11625.0
245,201806,인도,10346.0
246,201807,인도,9929.0
247,201808,인도,10610.0
248,201809,인도,11393.0
249,201810,인도,12683.0
250,201811,인도,10247.0
251,201812,인도,8440.0
252,201901,인도,8671.0
253,201902,인도,8309.0
254,201903,인도,10646.0
255,201904,인도,12933.0
256,201905,인도,13858.0
257,201906,인도,13249.0
258,201907,인도,10432.0
259,201908,인도,17001.0
260,201909,인도,12716.0
261,201910,인도,13160.0
262,201911,인도,12184.0
263,201912,인도,10208.0
264,201801,인도네시아,17034.0
265,201802,인도네시아,14739.0
266,201803,인도네시아,20202.0
267,201804,인도네시아,27913.0
268,201805,인도네시아,19057.0
269,201806,인도네시아,22833.0
270,201807,인도네시아,18061.0
271,201808,인도네시아,15796.0
272,201809,인도네시아,18236.0
273,201810,인도네시아,24931.0
274,201811,인도네시아,24176.0
275,201812,인도네시아,26089.0
276,201901,인도네시아,18842.0
277,201902,인도네시아,18115.0
278,201903,인도네시아,25626.0
279,201904,인도네시아,31427.0
280,201905,인도네시아,18936.0
281,201906,인도네시아,27880.0
282,201907,인도네시아,18260.0
283,201908,인도네시아,18210.0
284,201909,인도네시아,19309.0
285,201910,인도네시아,28494.0
286,201911,인도네시아,23760.0
287,201912,인도네시아,29716.0
288,201801,일본,167083.0
289,201802,일본,168241.0
290,201803,일본,294476.0
291,201804,일본,213853.0
292,201805,일본,227230.0
293,201806,일본,235293.0
294,201807,일본,230512.0
295,201808,일본,315025.0
296,201809,일본,247847.0
297,201810,일본,290468.0
298,201811,일본,299978.0
299,201812,일본,258521.0
300,201901,일본,206526.0
301,201902,일본,213200.0
302,201903,일본,375119.0
303,201904,일본,290092.0
304,201905,일본,286273.0
305,201906,일본,282476.0
306,201907,일본,274830.0
307,201908,일본,329652.0
308,201909,일본,251119.0
309,201910,일본,248541.0
310,201911,일본,258522.0
311,201912,일본,255356.0
312,201801,중국,305127.0
313,201802,중국,345341.0
314,201803,중국,403413.0
315,201804,중국,366604.0
316,201805,중국,370222.0
317,201806,중국,379891.0
318,201807,중국,410337.0
319,201808,중국,478140.0
320,201809,중국,434595.0
321,201810,중국,475307.0
322,201811,중국,404256.0
323,201812,중국,416279.0
324,201901,중국,392814.0
325,201902,중국,453379.0
326,201903,중국,487623.0
327,201904,중국,493250.0
328,201905,중국,500413.0
329,201906,중국,475007.0
330,201907,중국,519132.0
331,201908,중국,578112.0
332,201909,중국,541350.0
333,201910,중국,567695.0
334,201911,중국,505369.0
335,201912,중국,508877.0
336,201801,카자흐스탄,3942.0
337,201802,카자흐스탄,4687.0
338,201803,카자흐스탄,5475.0
339,201804,카자흐스탄,4797.0
340,201805,카자흐스탄,4638.0
341,201806,카자흐스탄,4551.0
342,201807,카자흐스탄,4444.0
343,201808,카자흐스탄,4585.0
344,201809,카자흐스탄,4327.0
345,201810,카자흐스탄,4768.0
346,201811,카자흐스탄,3538.0
347,201812,카자흐스탄,3107.0
348,201901,카자흐스탄,3574.0
349,201902,카자흐스탄,3774.0
350,201903,카자흐스탄,4915.0
351,201904,카자흐스탄,4618.0
352,201905,카자흐스탄,4585.0
353,201906,카자흐스탄,4829.0
354,201907,카자흐스탄,4953.0
355,201908,카자흐스탄,4948.0
356,201909,카자흐스탄,4909.0
357,201910,카자흐스탄,4776.0
358,201911,카자흐스탄,3697.0
359,201912,카자흐스탄,3388.0
360,201801,캐나다,12417.0
361,201802,캐나다,16438.0
362,201803,캐나다,18833.0
363,201804,캐나다,18569.0
364,201805,캐나다,18651.0
365,201806,캐나다,14521.0
366,201807,캐나다,15002.0
367,201808,캐나다,14686.0
368,201809,캐나다,15667.0
369,201810,캐나다,20187.0
370,201811,캐나다,15205.0
371,201812,캐나다,14083.0
372,201901,캐나다,12460.0
373,201902,캐나다,13551.0
374,201903,캐나다,18670.0
375,201904,캐나다,21361.0
376,201905,캐나다,19439.0
377,201906,캐나다,16133.0
378,201907,캐나다,16103.0
379,201908,캐나다,16700.0
380,201909,캐나다,18213.0
381,201910,캐나다,20624.0
382,201911,캐나다,16862.0
383,201912,캐나다,15292.0
384,201801,태국,44941.0
385,201802,태국,43428.0
386,201803,태국,55735.0
387,201804,태국,64720.0
388,201805,태국,51866.0
389,201806,태국,41020.0
390,201807,태국,33440.0
391,201808,태국,28516.0
392,201809,태국,34298.0
393,201810,태국,59941.0
394,201811,태국,46981.0
395,201812,태국,54026.0
396,201901,태국,41334.0
397,201902,태국,39220.0
398,201903,태국,53100.0
399,201904,태국,69726.0
400,201905,태국,52660.0
401,201906,태국,37684.0
402,201907,태국,37278.0
403,201908,태국,32830.0
404,201909,태국,36052.0
405,201910,태국,65878.0
406,201911,태국,49998.0
407,201912,태국,55850.0
408,201801,터키,1934.0
409,201802,터키,1896.0
410,201803,터키,2464.0
411,201804,터키,3329.0
412,201805,터키,2551.0
413,201806,터키,2499.0
414,201807,터키,2683.0
415,201808,터키,3197.0
416,201809,터키,2346.0
417,201810,터키,2593.0
418,201811,터키,2158.0
